bicycle,building,bus,car,fence,license plate,motorcycle,person,pole,rider,road,sidewalk,sky,terrain,traffic light,traffic sign,train,truck,vegetation,wall,frame,y
27153,0,0,203,0,0,1396,19334,0,0,0,0,0,0,0,25406,0,0,5510,0,003942,1
50442,0,0,0,0,0,480,649,0,0,0,0,0,0,0,25043,0,0,2388,0,006293,1
48353,0,0,264,0,0,790,2200,0,3,0,0,0,0,0,26899,0,0,493,0,006662,1
38449,0,0,1956,0,0,267,23572,0,0,0,0,0,0,0,12956,0,0,1802,0,001426,1
37317,0,0,3,0,0,5111,55,0,0,0,0,0,0,0,32891,0,0,3625,0,002426,1
43364,0,0,72,0,0,1767,15972,0,329,0,0,0,0,0,15278,0,0,2220,0,004405,1
50388,0,0,0,0,0,459,1680,0,0,0,0,0,0,0,26342,0,0,133,0,004899,1
39546,0,0,25,0,0,2722,632,0,0,0,0,0,0,0,31568,0,0,4509,0,006716,1
32422,0,0,61,0,0,1130,24993,0,68,0,0,0,0,0,1951,0,0,18890,0,005142,1
35580,0,0,13,0,0,1063,24325,0,0,0,0,0,0,0,8173,0,0,10361,0,000633,1
40772,0,0,3404,0,0,376,14198,0,6,0,0,0,0,0,19321,0,0,925,0,005778,1
36525,0,0,2618,0,0,3063,3642,0,0,0,0,0,0,0,20643,0,0,12511,0,006946,1
36699,0,0,2634,0,0,3540,3371,0,0,0,0,0,0,0,20253,0,0,12505,0,007298,1
29878,0,0,56,0,0,843,22392,0,0,0,0,0,0,0,23322,0,0,2511,0,001981,1
49759,0,0,0,0,0,1,4169,0,5658,0,0,0,0,0,15676,0,0,3739,0,003685,1
43682,0,0,104,0,0,68,22828,0,0,0,0,0,0,0,10582,0,0,1738,0,003041,1
35267,0,0,0,0,0,272,21581,0,2,0,0,0,0,0,19032,0,0,2848,0,005196,1
55883,0,0,75,0,0,488,2,0,0,0,0,0,0,0,19263,0,0,3291,0,000516,1
49439,0,0,3686,0,0,31,6365,0,1566,0,0,0,0,0,13051,0,0,4864,0,001474,1
13697,0,0,106,0,0,1828,48184,0,0,0,0,0,0,0,11428,0,0,3759,0,003256,1
37352,0,0,5,0,0,5111,59,0,0,0,0,0,0,0,33030,0,0,3445,0,003815,1
44834,0,0,0,0,0,1113,9137,0,0,0,0,0,0,0,23743,0,0,175,0,001903,1
25245,0,0,1,0,0,208,32191,0,0,0,0,0,0,0,20135,0,0,1222,0,005354,1
33689,0,0,133,0,0,1140,23512,0,327,0,0,0,0,0,2459,0,0,18255,0,003770,1
38445,0,0,2512,0,0,2906,1638,0,0,0,0,0,0,0,24575,0,0,8926,0,006318,1
53815,0,0,3614,0,0,141,7640,0,0,0,0,0,0,0,13392,0,0,400,0,003457,1
26018,0,0,0,0,0,837,19964,0,0,0,0,0,0,0,30512,0,0,1671,0,002009,1
44780,0,0,0,0,0,808,20674,0,0,0,0,0,0,0,12740,0,0,0,0,003356,1
34908,0,0,13390,0,0,140,9516,0,1264,0,0,0,0,0,19254,0,0,530,0,004325,1
36153,0,0,80,0,0,2752,8925,0,6,0,0,0,0,0,27883,0,0,3203,0,004317,1
45217,0,0,1,0,0,111,965,0,2886,0,0,0,0,0,26476,0,0,3346,0,005118,1
45895,0,0,1875,0,0,573,4300,0,99,0,0,0,0,0,22647,0,0,3613,0,006323,1
45070,0,0,122,0,0,3739,1141,0,0,0,0,0,0,0,25426,0,0,3504,0,006220,1
51067,0,0,0,0,0,1503,7543,0,0,0,0,0,0,0,16074,0,0,2815,0,000497,1
15249,0,0,3072,0,0,51,18106,0,22558,0,0,0,0,0,12551,0,0,7415,0,003326,1
43896,0,0,28,0,0,1504,13121,0,283,0,0,0,0,0,15662,0,0,4508,0,006389,1
54864,0,0,95,0,0,522,4331,0,0,0,0,0,0,0,16705,0,0,2485,0,003424,1
39093,0,0,100,0,0,3309,146,0,0,0,0,0,0,0,31958,0,0,4396,0,000416,1
36851,0,0,0,0,0,670,12868,0,0,0,0,0,0,0,27967,0,0,646,0,000531,1
43930,0,0,1455,0,0,1172,2513,0,12276,0,0,0,0,0,15699,0,0,1957,0,002431,1
36471,0,0,58,0,0,1047,22271,0,1,0,0,0,0,0,5589,0,0,14078,0,003321,1
37521,0,0,1,0,0,4934,69,0,0,0,0,0,0,0,32742,0,0,3735,0,007367,1
43532,0,0,14,0,0,1833,12996,0,321,0,0,0,0,0,16007,0,0,4299,0,000513,1
29924,0,0,0,0,0,1124,16878,0,0,0,0,0,0,0,27443,0,0,3633,0,001061,1
26954,0,0,124,0,0,1432,30078,0,0,0,0,0,0,0,20374,0,0,40,0,005134,1
43378,0,0,0,0,0,1443,2506,0,0,0,0,0,0,0,28289,0,0,3899,0,001912,1
50302,0,0,60,0,0,382,391,0,0,0,0,0,0,0,27841,0,0,26,0,006090,1
49767,0,0,0,0,0,333,10715,0,0,0,0,0,0,0,12450,0,0,5737,0,005691,1
32152,0,0,0,0,0,738,17904,0,0,0,0,0,0,0,26017,0,0,2191,0,004080,1
52095,0,0,0,0,0,2071,3220,0,0,0,0,0,0,0,17849,0,0,3767,0,007171,1
55978,0,0,40,0,0,5796,88,0,0,0,0,0,0,0,15883,0,0,1217,0,004296,1
30097,0,0,37,0,0,173,25020,0,9,0,0,0,0,0,16619,0,0,7047,0,002157,1
26474,0,0,71,0,0,975,29392,0,30,0,0,0,0,0,1579,0,0,20994,0,001548,1
41774,0,0,8397,0,0,4,7283,0,2414,0,0,0,0,0,10763,0,0,8880,0,006284,1
42443,0,0,0,0,0,1729,6921,0,0,0,0,0,0,0,18969,0,0,9453,0,001692,1
57057,0,0,3345,0,0,1495,313,0,33,0,0,0,0,0,13829,0,0,2930,0,000276,1
52825,0,0,0,0,0,50,7418,0,0,0,0,0,0,0,18450,0,0,259,0,000214,1
48897,0,0,1777,0,0,521,6285,0,0,0,0,0,0,0,18493,0,0,3029,0,003908,1
45000,0,0,1,0,0,273,926,0,1723,0,0,0,0,0,27442,0,0,3637,0,006119,1
49866,0,0,2224,0,0,52,3279,0,1879,0,0,0,0,0,17719,0,0,3983,0,002701,1
31423,0,0,29,0,0,940,27231,0,0,0,0,0,0,0,2071,0,0,17821,0,004674,1
38908,0,0,124,0,0,1500,15652,0,0,0,0,0,0,0,20243,0,0,2575,0,005718,1
44609,0,0,1561,0,0,36,17580,0,0,0,0,0,0,0,13679,0,0,1537,0,002413,1
49076,0,0,330,0,0,1465,2329,0,0,0,0,0,0,0,21446,0,0,4356,0,006203,1
39166,0,0,1306,0,0,958,11760,0,4,0,0,0,0,0,17576,0,0,8745,0,004283,1
54796,0,0,0,0,0,477,879,0,0,0,0,0,0,0,22822,0,0,28,0,001048,1
45391,0,0,0,0,0,3,10443,0,0,0,0,0,0,0,20400,0,0,2765,0,002364,1
47032,0,0,0,0,0,2091,3333,0,0,0,0,0,0,0,26035,0,0,511,0,004062,1
53597,0,0,0,0,0,882,5460,0,0,0,0,0,0,0,19063,0,0,0,0,000441,1
50248,0,0,2563,0,0,888,4086,0,366,0,0,0,0,0,15925,0,0,4926,0,004808,1
47388,0,0,176,0,0,462,7480,0,0,0,0,0,0,0,20786,0,0,2710,0,002611,1
30117,0,0,0,0,0,1154,25786,0,0,0,0,0,0,0,15770,0,0,6175,0,005512,1
55847,0,0,917,0,0,2849,72,0,0,0,0,0,0,0,19267,0,0,50,0,004084,1
38496,0,0,12,0,0,1227,18397,0,6,0,0,0,0,0,5491,0,0,15886,0,006076,1
52172,0,0,0,0,0,1655,0,0,0,0,0,0,0,0,19945,0,0,5743,0,005902,1
22494,0,0,3861,0,0,967,23504,0,729,0,0,0,0,0,21670,0,0,5777,0,004017,1
53501,0,0,126,0,0,294,10247,0,0,0,0,0,0,0,14834,0,0,0,0,001231,1
29162,0,0,0,0,0,1348,16867,0,0,0,0,0,0,0,27370,0,0,4255,0,000622,1
46735,0,0,0,0,0,1088,11732,0,0,0,0,0,0,0,17480,0,0,1967,0,006132,1
51131,0,0,24,0,0,1087,5916,0,0,0,0,0,0,0,20687,0,0,157,0,000041,1
52910,0,0,2,0,0,1020,1017,0,0,0,0,0,0,0,18316,0,0,5737,0,005344,1
52095,0,0,45,0,0,2705,95,0,0,0,0,0,0,0,21018,0,0,3044,0,003212,1
27665,0,0,243,0,0,916,13847,0,1862,0,0,0,0,0,30166,0,0,4303,0,005277,1
45092,0,0,0,0,0,76,770,0,2981,0,0,0,0,0,26700,0,0,3383,0,002231,1
51858,0,0,0,0,0,1107,464,0,0,0,0,0,0,0,24343,0,0,1230,0,000127,1
44972,0,0,433,0,0,1097,17744,0,776,0,0,0,0,0,13265,0,0,715,0,005578,1
57849,0,0,5,0,0,1492,1198,0,0,0,0,0,0,0,12664,0,0,5794,0,003320,1
63077,0,0,1974,0,0,1513,20,0,22,0,0,0,0,0,10684,0,0,1712,0,001857,1
50487,0,0,0,0,0,499,6961,0,0,0,0,0,0,0,20699,0,0,356,0,005674,1
10080,0,0,6,0,0,1037,43238,0,0,0,0,0,0,0,20556,0,0,4085,0,004558,1
48182,0,0,3280,0,0,616,624,0,738,0,0,0,0,0,23260,0,0,2302,0,003810,1
49336,0,0,0,0,0,1119,13105,0,0,0,0,0,0,0,14111,0,0,1331,0,002829,1
50308,0,0,6952,0,0,567,3001,0,9,0,0,0,0,0,12568,0,0,5597,0,000587,1
56028,0,0,0,0,0,923,1129,0,0,0,0,0,0,0,18916,0,0,2006,0,006538,1
49851,0,0,833,0,0,403,5716,0,469,0,0,0,0,0,21406,0,0,324,0,004637,1
44883,0,0,8,0,0,204,10158,0,0,0,0,0,0,0,22493,0,0,1256,0,002687,1
25578,0,0,0,0,0,451,19959,0,0,0,0,0,0,0,24547,0,0,8467,0,001622,1
33618,0,0,90,0,0,1014,25101,0,0,0,0,0,0,0,4836,0,0,14856,0,004912,1
42334,0,0,0,0,0,255,14906,0,0,0,0,0,0,0,19708,0,0,1799,0,006040,1
34398,0,0,5395,0,0,1789,15716,0,294,0,0,0,0,0,10391,0,0,11019,0,005051,1
40848,0,0,2,0,0,4898,58,0,0,0,0,0,0,0,31346,0,0,1850,0,003418,1
43235,0,0,9335,0,0,232,3498,0,0,0,0,0,0,0,21494,0,0,1208,0,003776,1
36405,0,0,156,0,0,1008,21771,0,0,0,0,0,0,0,2275,0,0,17900,0,003989,1
47487,0,0,1,0,0,4915,63,0,0,0,0,0,0,0,24791,0,0,1745,0,007211,1
23951,0,0,37,0,0,352,25406,0,21,0,0,0,0,0,25514,0,0,3721,0,001624,1
14132,0,0,4438,0,0,445,32272,0,979,0,0,0,0,0,21405,0,0,5331,0,000992,1
44384,0,0,5280,0,0,69,285,0,0,0,0,0,0,0,26922,0,0,2062,0,005844,1
13528,0,0,0,0,0,1466,41714,0,0,0,0,0,0,0,19413,0,0,2881,0,004836,1
40252,0,0,27,0,0,747,7688,0,66,0,0,0,0,0,21255,0,0,8967,0,004484,1
26289,0,0,14,0,0,1115,30456,0,0,0,0,0,0,0,6229,0,0,15412,0,003823,1
43364,0,0,0,0,0,1097,11659,0,0,0,0,0,0,0,21274,0,0,1608,0,000483,1
58355,0,0,2427,0,0,607,125,0,13,0,0,0,0,0,17283,0,0,192,0,000326,1
34084,0,0,9,0,0,882,24695,0,0,0,0,0,0,0,4641,0,0,15204,0,007231,1
42946,0,0,225,0,0,1312,10166,0,623,0,0,0,0,0,18738,0,0,4992,0,006310,1
34646,0,0,0,0,0,8,30845,0,0,0,0,0,0,0,13503,0,0,0,0,002762,1
43037,0,0,198,0,0,31,19801,0,0,0,0,0,0,0,14083,0,0,1852,0,001476,1
52371,0,0,1,0,0,728,6513,0,0,0,0,0,0,0,19354,0,0,35,0,006460,1
31164,0,0,7,0,0,1083,25818,0,0,0,0,0,0,0,2346,0,0,19097,0,000701,1
45532,0,0,2,0,0,1718,1,0,0,0,0,0,0,0,27160,0,0,5102,0,001879,1
24668,0,0,0,0,0,17,34958,0,0,0,0,0,0,0,18987,0,0,372,0,006431,1
33274,0,0,36,0,0,1029,24797,0,0,0,0,0,0,0,1907,0,0,18472,0,001406,1
29827,0,0,0,0,0,10,36590,0,0,0,0,0,0,0,12575,0,0,0,0,002024,1
29529,0,0,8,0,0,959,23828,0,0,0,0,0,0,0,24028,0,0,650,0,001988,1
31759,0,0,253,0,0,5537,10958,0,0,0,0,0,0,0,23865,0,0,6630,0,003706,1
31908,0,0,10,0,0,1142,25937,0,0,0,0,0,0,0,2264,0,0,18254,0,001300,1
17077,0,0,106,0,0,8,20008,0,21374,0,0,0,0,0,13528,0,0,6901,0,001297,1
32410,0,0,0,0,0,646,21089,0,0,0,0,0,0,0,23590,0,0,1267,0,001614,1
38105,0,0,0,0,0,174,32724,0,0,0,0,0,0,0,7999,0,0,0,0,006390,1
22378,0,0,2828,0,0,1520,19235,0,0,0,0,0,0,0,30766,0,0,2275,0,005798,1
49017,0,0,0,0,0,513,8147,0,0,0,0,0,0,0,21325,0,0,0,0,001968,1
30835,0,0,0,0,0,1198,26542,0,57,0,0,0,0,0,4952,0,0,15931,0,001544,1
53911,0,0,0,0,0,1363,1388,0,0,0,0,0,0,0,20173,0,0,2167,0,005152,1
52197,0,0,2,0,0,1583,4576,0,0,0,0,0,0,0,16896,0,0,3748,0,000067,1
54541,0,0,2,0,0,803,114,0,0,0,0,0,0,0,22830,0,0,712,0,003540,1
29667,0,0,3,0,0,1072,25198,0,0,0,0,0,0,0,18425,0,0,4637,0,002221,1
31065,0,0,95,0,0,972,27422,0,0,0,0,0,0,0,1732,0,0,18229,0,003927,1
52992,0,0,57,0,0,477,1462,0,3117,0,0,0,0,0,13314,0,0,7583,0,006599,1
18331,0,0,49,0,0,10,18846,0,22226,0,0,0,0,0,12224,0,0,7316,0,006947,1
39915,0,0,0,0,0,2217,12586,0,2,0,0,0,0,0,23109,0,0,1173,0,006145,1
41783,0,0,6,0,0,2546,8337,0,22,0,0,0,0,0,22830,0,0,3478,0,004436,1
43741,0,0,1256,0,0,747,5046,0,2453,0,0,0,0,0,18740,0,0,7019,0,004466,1
21611,0,0,1283,0,0,1505,13918,0,23463,0,0,0,0,0,15515,0,0,1707,0,001338,1
44969,0,0,0,0,0,255,8495,0,0,0,0,0,0,0,25240,0,0,43,0,000113,1
22048,0,0,0,0,0,4942,27341,0,0,0,0,0,0,0,18092,0,0,6579,0,003237,1
55079,0,0,0,0,0,185,3167,0,0,0,0,0,0,0,19819,0,0,752,0,003078,1
59608,0,0,31,0,0,1007,94,0,0,0,0,0,0,0,16299,0,0,1963,0,003384,1
46088,0,0,2,0,0,552,7650,0,0,0,0,0,0,0,20784,0,0,3926,0,004845,1
37479,0,0,4,0,0,4975,79,0,0,0,0,0,0,0,33409,0,0,3056,0,007373,1
53210,0,0,4189,0,0,84,6872,0,108,0,0,0,0,0,14012,0,0,527,0,000680,1
34615,0,0,0,0,0,23,29991,0,0,0,0,0,0,0,14373,0,0,0,0,004265,1
56077,0,0,196,0,0,63,7465,0,7377,0,0,0,0,0,7817,0,0,7,0,000244,1
47446,0,0,36,0,0,35,1954,0,0,0,0,0,0,0,25275,0,0,4256,0,003036,1
37603,0,0,3,0,0,5046,61,0,0,0,0,0,0,0,32901,0,0,3388,0,005738,1
53495,0,0,398,0,0,147,6225,0,129,0,0,0,0,0,18264,0,0,344,0,002288,1
46817,0,0,0,0,0,2132,7659,0,0,0,0,0,0,0,22218,0,0,176,0,003108,1
42480,0,0,0,0,0,24,26421,0,0,0,0,0,0,0,9413,0,0,664,0,005419,1
43980,0,0,0,0,0,50,13436,0,0,0,0,0,0,0,18123,0,0,3413,0,002855,1
64585,0,0,0,0,0,763,770,0,0,0,0,0,0,0,11764,0,0,1120,0,007151,1
14258,0,0,0,0,0,0,37332,0,0,0,0,0,0,0,26449,0,0,1476,0,006750,1
29325,0,0,298,0,0,2078,35479,0,0,0,0,0,0,0,8429,0,0,3393,0,002275,1
21399,0,0,6717,0,0,233,13737,0,18689,0,0,0,0,0,12197,0,0,6030,0,001079,1
32746,0,0,59,0,0,1089,25068,0,0,0,0,0,0,0,4369,0,0,16184,0,001970,1
38249,0,0,1460,0,0,275,24079,0,0,0,0,0,0,0,13869,0,0,1070,0,004269,1
16665,0,0,266,0,0,693,39556,0,0,0,0,0,0,0,15865,0,0,5957,0,005775,1
38946,0,0,0,0,0,3384,114,0,0,0,0,0,0,0,32424,0,0,4134,0,004413,1
23568,0,0,0,0,0,1163,22594,0,0,0,0,0,0,0,26428,0,0,5249,0,003644,1
44028,0,0,2691,0,0,0,6286,0,5852,0,0,0,0,0,18690,0,0,1968,0,001354,1
55484,0,0,0,0,0,367,4598,0,0,0,0,0,0,0,18126,0,0,427,0,000172,1
36179,0,0,0,0,0,419,22181,0,847,0,0,0,0,0,11196,0,0,8180,0,005897,1
55343,0,0,0,0,0,799,1402,0,1,0,0,0,0,0,19498,0,0,1959,0,006448,1
41043,0,0,0,0,0,1463,1693,0,0,0,0,0,0,0,31570,0,0,3233,0,002264,1
26103,0,0,0,0,0,208,34158,0,0,0,0,0,0,0,14106,0,0,4427,0,005403,1
42416,0,0,0,0,0,835,21941,0,0,0,0,0,0,0,13880,0,0,443,0,004583,1
69709,0,0,427,0,0,0,235,0,969,0,0,0,0,0,7167,0,0,495,0,003081,1
55990,0,0,190,0,0,321,0,0,550,0,0,0,0,0,18107,0,0,3844,0,004754,1
20116,0,0,0,0,0,1094,28006,0,0,0,0,0,0,0,23626,0,0,6160,0,000258,1
46437,0,0,6,0,0,5024,88,0,0,0,0,0,0,0,25106,0,0,2341,0,006235,1
47011,0,0,532,0,0,670,13507,0,0,0,0,0,0,0,17060,0,0,222,0,002949,1
31990,0,0,0,0,0,1180,25773,0,0,0,0,0,0,0,3970,0,0,16602,0,005779,1
49830,0,0,6,0,0,551,6908,0,405,0,0,0,0,0,21033,0,0,269,0,007035,1
17845,0,0,2987,0,0,1306,25723,0,0,0,0,0,0,0,26548,0,0,4593,0,004177,1
41057,0,0,436,0,0,608,17921,0,0,0,0,0,0,0,15522,0,0,3458,0,003744,1
60348,0,0,0,0,0,848,2166,0,0,0,0,0,0,0,15345,0,0,295,0,002926,1
44360,0,0,178,0,0,2181,3910,0,0,0,0,0,0,0,27090,0,0,1283,0,005569,1
48518,0,0,82,0,0,665,6277,0,0,0,0,0,0,0,20619,0,0,2841,0,002436,1
44723,0,0,328,0,0,4021,595,0,0,0,0,0,0,0,21432,0,0,7903,0,000367,1
25007,0,0,163,0,0,936,31435,0,0,0,0,0,0,0,21461,0,0,0,0,003441,1
55009,0,0,0,0,0,1007,9245,0,21,0,0,0,0,0,13349,0,0,371,0,006663,1
23084,0,0,0,0,0,3347,36642,0,0,0,0,0,0,0,10707,0,0,5222,0,005388,1
19591,0,0,10,0,0,735,36041,0,0,0,0,0,0,0,21668,0,0,957,0,003083,1
38225,0,0,510,0,0,33,20108,0,1387,0,0,0,0,0,17917,0,0,822,0,000032,1
32941,0,0,77,0,0,981,26434,0,0,0,0,0,0,0,2191,0,0,16891,0,003130,1
62313,0,0,0,0,0,97,8804,0,0,0,0,0,0,0,7788,0,0,0,0,003565,1
42034,0,0,0,0,0,277,10651,0,0,0,0,0,0,0,25966,0,0,74,0,002105,1
49937,0,0,0,0,0,1086,6630,0,0,0,0,0,0,0,21152,0,0,197,0,002155,1
52202,0,0,0,0,0,246,6348,0,0,0,0,0,0,0,15183,0,0,5023,0,002453,1
52286,0,0,0,0,0,174,9044,0,0,0,0,0,0,0,17272,0,0,226,0,004882,1
33823,0,0,0,0,0,5,29196,0,0,0,0,0,0,0,15875,0,0,103,0,002708,1
55811,0,0,5961,0,0,495,4830,0,58,0,0,0,0,0,11747,0,0,100,0,000563,1
49051,0,0,12,0,0,0,8327,0,0,0,0,0,0,0,19850,0,0,1762,0,006237,1
53844,0,0,4356,0,0,1266,2524,0,9,0,0,0,0,0,14860,0,0,2143,0,003585,1
32442,0,0,52,0,0,935,26100,0,0,0,0,0,0,0,5172,0,0,14814,0,001174,1
34145,0,0,61,0,0,583,19582,0,0,0,0,0,0,0,20480,0,0,4151,0,004512,1
22444,0,0,0,0,0,184,33863,0,0,0,0,0,0,0,17470,0,0,5041,0,001580,1
42343,0,0,5,0,0,5310,68,0,0,0,0,0,0,0,27980,0,0,3296,0,005454,1
49594,0,0,0,0,0,1607,2965,0,0,0,0,0,0,0,24195,0,0,641,0,006564,1
68336,0,0,0,0,0,197,0,0,0,0,0,0,0,0,10469,0,0,0,0,006456,1
37535,0,0,2,0,0,4966,47,0,0,0,0,0,0,0,33036,0,0,3416,0,006049,1
51678,0,0,0,0,0,1838,3826,0,0,0,0,0,0,0,18225,0,0,3435,0,007066,1
54198,0,0,378,0,0,404,0,0,1,0,0,0,0,0,17697,0,0,6324,0,001059,1
46597,0,0,7814,0,0,353,397,0,6422,0,0,0,0,0,14667,0,0,2752,0,000390,1
18413,0,0,0,0,0,8,31064,0,0,0,0,0,0,0,25526,0,0,3991,0,001276,1
37255,0,0,3,0,0,5124,75,0,0,0,0,0,0,0,32814,0,0,3731,0,005816,1
28273,0,0,18,0,0,879,13700,0,2343,0,0,0,0,0,27919,0,0,5870,0,003023,1
38260,0,0,1045,0,0,972,12733,0,0,0,0,0,0,0,21727,0,0,4778,0,001366,1
45627,0,0,159,0,0,22,19398,0,0,0,0,0,0,0,13796,0,0,0,0,006721,1
34790,0,0,64,0,0,1020,23605,0,2,0,0,0,0,0,3339,0,0,16695,0,004854,1
35841,0,0,0,0,0,2321,10846,0,0,0,0,0,0,0,26249,0,0,3745,0,004169,1
50139,0,0,1,0,0,1073,367,0,0,0,0,0,0,0,21851,0,0,6084,0,001357,1
47670,0,0,0,0,0,2397,2684,0,3,0,0,0,0,0,19974,0,0,6274,0,000972,1
30661,0,0,127,0,0,890,27401,0,0,0,0,0,0,0,5496,0,0,14940,0,003333,1
34720,0,0,172,0,0,1138,22049,0,16,0,0,0,0,0,2019,0,0,19401,0,007362,1
16111,0,0,4740,0,0,982,37264,0,0,0,0,0,0,0,14701,0,0,5204,0,004736,1
43041,0,0,443,0,0,27,8849,0,6686,0,0,0,0,0,13643,0,0,6826,0,000074,1
51972,0,0,1451,0,0,1049,103,0,11,0,0,0,0,0,22286,0,0,2130,0,005018,1
35119,0,0,14,0,0,3583,14147,0,1454,0,0,0,0,0,22197,0,0,2488,0,000303,1
31466,0,0,53,0,0,968,27002,0,0,0,0,0,0,0,3410,0,0,16616,0,007237,1
52880,0,0,792,0,0,2508,2042,0,1324,0,0,0,0,0,17174,0,0,2282,0,004351,1
37806,0,0,0,0,0,60,30660,0,0,0,0,0,0,0,10308,0,0,168,0,000264,1
34618,0,0,11,0,0,354,23509,0,0,0,0,0,0,0,14335,0,0,6175,0,004772,1
