bicycle,building,bus,car,fence,license plate,motorcycle,person,pole,rider,road,sidewalk,sky,terrain,traffic light,traffic sign,train,truck,vegetation,wall,frame,y
36465,0,0,7599,0,0,1561,7072,0,1870,0,0,0,0,0,17045,0,0,7390,0,007196,urban
31610,0,0,3696,0,0,889,10527,0,231,0,0,0,0,0,19863,0,0,12186,0,001200,urban
15869,0,0,0,0,0,2703,27543,0,2,0,0,0,0,0,31145,0,0,1740,0,003095,urban
27153,0,0,203,0,0,1396,19334,0,0,0,0,0,0,0,25406,0,0,5510,0,003942,urban
50442,0,0,0,0,0,480,649,0,0,0,0,0,0,0,25043,0,0,2388,0,006293,urban
48353,0,0,264,0,0,790,2200,0,3,0,0,0,0,0,26899,0,0,493,0,006662,urban
38449,0,0,1956,0,0,267,23572,0,0,0,0,0,0,0,12956,0,0,1802,0,001426,urban
37317,0,0,3,0,0,5111,55,0,0,0,0,0,0,0,32891,0,0,3625,0,002426,urban
43364,0,0,72,0,0,1767,15972,0,329,0,0,0,0,0,15278,0,0,2220,0,004405,urban
50388,0,0,0,0,0,459,1680,0,0,0,0,0,0,0,26342,0,0,133,0,004899,urban
39546,0,0,25,0,0,2722,632,0,0,0,0,0,0,0,31568,0,0,4509,0,006716,urban
32422,0,0,61,0,0,1130,24993,0,68,0,0,0,0,0,1951,0,0,18890,0,005142,urban
35580,0,0,13,0,0,1063,24325,0,0,0,0,0,0,0,8173,0,0,10361,0,000633,urban
40772,0,0,3404,0,0,376,14198,0,6,0,0,0,0,0,19321,0,0,925,0,005778,urban
36525,0,0,2618,0,0,3063,3642,0,0,0,0,0,0,0,20643,0,0,12511,0,006946,urban
36699,0,0,2634,0,0,3540,3371,0,0,0,0,0,0,0,20253,0,0,12505,0,007298,urban
29878,0,0,56,0,0,843,22392,0,0,0,0,0,0,0,23322,0,0,2511,0,001981,urban
49759,0,0,0,0,0,1,4169,0,5658,0,0,0,0,0,15676,0,0,3739,0,003685,urban
43682,0,0,104,0,0,68,22828,0,0,0,0,0,0,0,10582,0,0,1738,0,003041,urban
35267,0,0,0,0,0,272,21581,0,2,0,0,0,0,0,19032,0,0,2848,0,005196,urban
55883,0,0,75,0,0,488,2,0,0,0,0,0,0,0,19263,0,0,3291,0,000516,urban
49439,0,0,3686,0,0,31,6365,0,1566,0,0,0,0,0,13051,0,0,4864,0,001474,urban
13697,0,0,106,0,0,1828,48184,0,0,0,0,0,0,0,11428,0,0,3759,0,003256,urban
37352,0,0,5,0,0,5111,59,0,0,0,0,0,0,0,33030,0,0,3445,0,003815,urban
44834,0,0,0,0,0,1113,9137,0,0,0,0,0,0,0,23743,0,0,175,0,001903,urban
25245,0,0,1,0,0,208,32191,0,0,0,0,0,0,0,20135,0,0,1222,0,005354,urban
33689,0,0,133,0,0,1140,23512,0,327,0,0,0,0,0,2459,0,0,18255,0,003770,urban
38445,0,0,2512,0,0,2906,1638,0,0,0,0,0,0,0,24575,0,0,8926,0,006318,urban
53815,0,0,3614,0,0,141,7640,0,0,0,0,0,0,0,13392,0,0,400,0,003457,urban
26018,0,0,0,0,0,837,19964,0,0,0,0,0,0,0,30512,0,0,1671,0,002009,urban
44780,0,0,0,0,0,808,20674,0,0,0,0,0,0,0,12740,0,0,0,0,003356,urban
34908,0,0,13390,0,0,140,9516,0,1264,0,0,0,0,0,19254,0,0,530,0,004325,urban
36153,0,0,80,0,0,2752,8925,0,6,0,0,0,0,0,27883,0,0,3203,0,004317,urban
45217,0,0,1,0,0,111,965,0,2886,0,0,0,0,0,26476,0,0,3346,0,005118,urban
45895,0,0,1875,0,0,573,4300,0,99,0,0,0,0,0,22647,0,0,3613,0,006323,urban
45070,0,0,122,0,0,3739,1141,0,0,0,0,0,0,0,25426,0,0,3504,0,006220,urban
51067,0,0,0,0,0,1503,7543,0,0,0,0,0,0,0,16074,0,0,2815,0,000497,urban
15249,0,0,3072,0,0,51,18106,0,22558,0,0,0,0,0,12551,0,0,7415,0,003326,urban
43896,0,0,28,0,0,1504,13121,0,283,0,0,0,0,0,15662,0,0,4508,0,006389,urban
54864,0,0,95,0,0,522,4331,0,0,0,0,0,0,0,16705,0,0,2485,0,003424,urban
39093,0,0,100,0,0,3309,146,0,0,0,0,0,0,0,31958,0,0,4396,0,000416,urban
36851,0,0,0,0,0,670,12868,0,0,0,0,0,0,0,27967,0,0,646,0,000531,urban
43930,0,0,1455,0,0,1172,2513,0,12276,0,0,0,0,0,15699,0,0,1957,0,002431,urban
36471,0,0,58,0,0,1047,22271,0,1,0,0,0,0,0,5589,0,0,14078,0,003321,urban
37521,0,0,1,0,0,4934,69,0,0,0,0,0,0,0,32742,0,0,3735,0,007367,urban
43532,0,0,14,0,0,1833,12996,0,321,0,0,0,0,0,16007,0,0,4299,0,000513,urban
29924,0,0,0,0,0,1124,16878,0,0,0,0,0,0,0,27443,0,0,3633,0,001061,urban
26954,0,0,124,0,0,1432,30078,0,0,0,0,0,0,0,20374,0,0,40,0,005134,urban
43378,0,0,0,0,0,1443,2506,0,0,0,0,0,0,0,28289,0,0,3899,0,001912,urban
50302,0,0,60,0,0,382,391,0,0,0,0,0,0,0,27841,0,0,26,0,006090,urban
49767,0,0,0,0,0,333,10715,0,0,0,0,0,0,0,12450,0,0,5737,0,005691,urban
32152,0,0,0,0,0,738,17904,0,0,0,0,0,0,0,26017,0,0,2191,0,004080,urban
52095,0,0,0,0,0,2071,3220,0,0,0,0,0,0,0,17849,0,0,3767,0,007171,urban
55978,0,0,40,0,0,5796,88,0,0,0,0,0,0,0,15883,0,0,1217,0,004296,urban
30097,0,0,37,0,0,173,25020,0,9,0,0,0,0,0,16619,0,0,7047,0,002157,urban
26474,0,0,71,0,0,975,29392,0,30,0,0,0,0,0,1579,0,0,20994,0,001548,urban
41774,0,0,8397,0,0,4,7283,0,2414,0,0,0,0,0,10763,0,0,8880,0,006284,urban
42443,0,0,0,0,0,1729,6921,0,0,0,0,0,0,0,18969,0,0,9453,0,001692,urban
57057,0,0,3345,0,0,1495,313,0,33,0,0,0,0,0,13829,0,0,2930,0,000276,urban
52825,0,0,0,0,0,50,7418,0,0,0,0,0,0,0,18450,0,0,259,0,000214,urban
48897,0,0,1777,0,0,521,6285,0,0,0,0,0,0,0,18493,0,0,3029,0,003908,urban
45000,0,0,1,0,0,273,926,0,1723,0,0,0,0,0,27442,0,0,3637,0,006119,urban
49866,0,0,2224,0,0,52,3279,0,1879,0,0,0,0,0,17719,0,0,3983,0,002701,urban
31423,0,0,29,0,0,940,27231,0,0,0,0,0,0,0,2071,0,0,17821,0,004674,urban
38908,0,0,124,0,0,1500,15652,0,0,0,0,0,0,0,20243,0,0,2575,0,005718,urban
44609,0,0,1561,0,0,36,17580,0,0,0,0,0,0,0,13679,0,0,1537,0,002413,urban
49076,0,0,330,0,0,1465,2329,0,0,0,0,0,0,0,21446,0,0,4356,0,006203,urban
39166,0,0,1306,0,0,958,11760,0,4,0,0,0,0,0,17576,0,0,8745,0,004283,urban
54796,0,0,0,0,0,477,879,0,0,0,0,0,0,0,22822,0,0,28,0,001048,urban
45391,0,0,0,0,0,3,10443,0,0,0,0,0,0,0,20400,0,0,2765,0,002364,urban
47032,0,0,0,0,0,2091,3333,0,0,0,0,0,0,0,26035,0,0,511,0,004062,urban
53597,0,0,0,0,0,882,5460,0,0,0,0,0,0,0,19063,0,0,0,0,000441,urban
50248,0,0,2563,0,0,888,4086,0,366,0,0,0,0,0,15925,0,0,4926,0,004808,urban
47388,0,0,176,0,0,462,7480,0,0,0,0,0,0,0,20786,0,0,2710,0,002611,urban
30117,0,0,0,0,0,1154,25786,0,0,0,0,0,0,0,15770,0,0,6175,0,005512,urban
55847,0,0,917,0,0,2849,72,0,0,0,0,0,0,0,19267,0,0,50,0,004084,urban
38496,0,0,12,0,0,1227,18397,0,6,0,0,0,0,0,5491,0,0,15886,0,006076,urban
52172,0,0,0,0,0,1655,0,0,0,0,0,0,0,0,19945,0,0,5743,0,005902,urban
22494,0,0,3861,0,0,967,23504,0,729,0,0,0,0,0,21670,0,0,5777,0,004017,urban
53501,0,0,126,0,0,294,10247,0,0,0,0,0,0,0,14834,0,0,0,0,001231,urban
29162,0,0,0,0,0,1348,16867,0,0,0,0,0,0,0,27370,0,0,4255,0,000622,urban
46735,0,0,0,0,0,1088,11732,0,0,0,0,0,0,0,17480,0,0,1967,0,006132,urban
51131,0,0,24,0,0,1087,5916,0,0,0,0,0,0,0,20687,0,0,157,0,000041,urban
52910,0,0,2,0,0,1020,1017,0,0,0,0,0,0,0,18316,0,0,5737,0,005344,urban
52095,0,0,45,0,0,2705,95,0,0,0,0,0,0,0,21018,0,0,3044,0,003212,urban
27665,0,0,243,0,0,916,13847,0,1862,0,0,0,0,0,30166,0,0,4303,0,005277,urban
45092,0,0,0,0,0,76,770,0,2981,0,0,0,0,0,26700,0,0,3383,0,002231,urban
51858,0,0,0,0,0,1107,464,0,0,0,0,0,0,0,24343,0,0,1230,0,000127,urban
44972,0,0,433,0,0,1097,17744,0,776,0,0,0,0,0,13265,0,0,715,0,005578,urban
57849,0,0,5,0,0,1492,1198,0,0,0,0,0,0,0,12664,0,0,5794,0,003320,urban
63077,0,0,1974,0,0,1513,20,0,22,0,0,0,0,0,10684,0,0,1712,0,001857,urban
50487,0,0,0,0,0,499,6961,0,0,0,0,0,0,0,20699,0,0,356,0,005674,urban
10080,0,0,6,0,0,1037,43238,0,0,0,0,0,0,0,20556,0,0,4085,0,004558,urban
48182,0,0,3280,0,0,616,624,0,738,0,0,0,0,0,23260,0,0,2302,0,003810,urban
49336,0,0,0,0,0,1119,13105,0,0,0,0,0,0,0,14111,0,0,1331,0,002829,urban
50308,0,0,6952,0,0,567,3001,0,9,0,0,0,0,0,12568,0,0,5597,0,000587,urban
56028,0,0,0,0,0,923,1129,0,0,0,0,0,0,0,18916,0,0,2006,0,006538,urban
49851,0,0,833,0,0,403,5716,0,469,0,0,0,0,0,21406,0,0,324,0,004637,urban
44883,0,0,8,0,0,204,10158,0,0,0,0,0,0,0,22493,0,0,1256,0,002687,urban
25578,0,0,0,0,0,451,19959,0,0,0,0,0,0,0,24547,0,0,8467,0,001622,urban
33618,0,0,90,0,0,1014,25101,0,0,0,0,0,0,0,4836,0,0,14856,0,004912,urban
42334,0,0,0,0,0,255,14906,0,0,0,0,0,0,0,19708,0,0,1799,0,006040,urban
34398,0,0,5395,0,0,1789,15716,0,294,0,0,0,0,0,10391,0,0,11019,0,005051,urban
40848,0,0,2,0,0,4898,58,0,0,0,0,0,0,0,31346,0,0,1850,0,003418,urban
43235,0,0,9335,0,0,232,3498,0,0,0,0,0,0,0,21494,0,0,1208,0,003776,urban
36405,0,0,156,0,0,1008,21771,0,0,0,0,0,0,0,2275,0,0,17900,0,003989,urban
47487,0,0,1,0,0,4915,63,0,0,0,0,0,0,0,24791,0,0,1745,0,007211,urban
23951,0,0,37,0,0,352,25406,0,21,0,0,0,0,0,25514,0,0,3721,0,001624,urban
14132,0,0,4438,0,0,445,32272,0,979,0,0,0,0,0,21405,0,0,5331,0,000992,urban
44384,0,0,5280,0,0,69,285,0,0,0,0,0,0,0,26922,0,0,2062,0,005844,urban
13528,0,0,0,0,0,1466,41714,0,0,0,0,0,0,0,19413,0,0,2881,0,004836,urban
40252,0,0,27,0,0,747,7688,0,66,0,0,0,0,0,21255,0,0,8967,0,004484,urban
26289,0,0,14,0,0,1115,30456,0,0,0,0,0,0,0,6229,0,0,15412,0,003823,urban
43364,0,0,0,0,0,1097,11659,0,0,0,0,0,0,0,21274,0,0,1608,0,000483,urban
58355,0,0,2427,0,0,607,125,0,13,0,0,0,0,0,17283,0,0,192,0,000326,urban
34084,0,0,9,0,0,882,24695,0,0,0,0,0,0,0,4641,0,0,15204,0,007231,urban
42946,0,0,225,0,0,1312,10166,0,623,0,0,0,0,0,18738,0,0,4992,0,006310,urban
34646,0,0,0,0,0,8,30845,0,0,0,0,0,0,0,13503,0,0,0,0,002762,urban
43037,0,0,198,0,0,31,19801,0,0,0,0,0,0,0,14083,0,0,1852,0,001476,urban
52371,0,0,1,0,0,728,6513,0,0,0,0,0,0,0,19354,0,0,35,0,006460,urban
31164,0,0,7,0,0,1083,25818,0,0,0,0,0,0,0,2346,0,0,19097,0,000701,urban
45532,0,0,2,0,0,1718,1,0,0,0,0,0,0,0,27160,0,0,5102,0,001879,urban
24668,0,0,0,0,0,17,34958,0,0,0,0,0,0,0,18987,0,0,372,0,006431,urban
33274,0,0,36,0,0,1029,24797,0,0,0,0,0,0,0,1907,0,0,18472,0,001406,urban
29827,0,0,0,0,0,10,36590,0,0,0,0,0,0,0,12575,0,0,0,0,002024,urban
29529,0,0,8,0,0,959,23828,0,0,0,0,0,0,0,24028,0,0,650,0,001988,urban
31759,0,0,253,0,0,5537,10958,0,0,0,0,0,0,0,23865,0,0,6630,0,003706,urban
31908,0,0,10,0,0,1142,25937,0,0,0,0,0,0,0,2264,0,0,18254,0,001300,urban
17077,0,0,106,0,0,8,20008,0,21374,0,0,0,0,0,13528,0,0,6901,0,001297,urban
32410,0,0,0,0,0,646,21089,0,0,0,0,0,0,0,23590,0,0,1267,0,001614,urban
38105,0,0,0,0,0,174,32724,0,0,0,0,0,0,0,7999,0,0,0,0,006390,urban
22378,0,0,2828,0,0,1520,19235,0,0,0,0,0,0,0,30766,0,0,2275,0,005798,urban
49017,0,0,0,0,0,513,8147,0,0,0,0,0,0,0,21325,0,0,0,0,001968,urban
30835,0,0,0,0,0,1198,26542,0,57,0,0,0,0,0,4952,0,0,15931,0,001544,urban
53911,0,0,0,0,0,1363,1388,0,0,0,0,0,0,0,20173,0,0,2167,0,005152,urban
52197,0,0,2,0,0,1583,4576,0,0,0,0,0,0,0,16896,0,0,3748,0,000067,urban
54541,0,0,2,0,0,803,114,0,0,0,0,0,0,0,22830,0,0,712,0,003540,urban
29667,0,0,3,0,0,1072,25198,0,0,0,0,0,0,0,18425,0,0,4637,0,002221,urban
31065,0,0,95,0,0,972,27422,0,0,0,0,0,0,0,1732,0,0,18229,0,003927,urban
52992,0,0,57,0,0,477,1462,0,3117,0,0,0,0,0,13314,0,0,7583,0,006599,urban
18331,0,0,49,0,0,10,18846,0,22226,0,0,0,0,0,12224,0,0,7316,0,006947,urban
39915,0,0,0,0,0,2217,12586,0,2,0,0,0,0,0,23109,0,0,1173,0,006145,urban
41783,0,0,6,0,0,2546,8337,0,22,0,0,0,0,0,22830,0,0,3478,0,004436,urban
43741,0,0,1256,0,0,747,5046,0,2453,0,0,0,0,0,18740,0,0,7019,0,004466,urban
21611,0,0,1283,0,0,1505,13918,0,23463,0,0,0,0,0,15515,0,0,1707,0,001338,urban
44969,0,0,0,0,0,255,8495,0,0,0,0,0,0,0,25240,0,0,43,0,000113,urban
22048,0,0,0,0,0,4942,27341,0,0,0,0,0,0,0,18092,0,0,6579,0,003237,urban
55079,0,0,0,0,0,185,3167,0,0,0,0,0,0,0,19819,0,0,752,0,003078,urban
59608,0,0,31,0,0,1007,94,0,0,0,0,0,0,0,16299,0,0,1963,0,003384,urban
46088,0,0,2,0,0,552,7650,0,0,0,0,0,0,0,20784,0,0,3926,0,004845,urban
37479,0,0,4,0,0,4975,79,0,0,0,0,0,0,0,33409,0,0,3056,0,007373,urban
53210,0,0,4189,0,0,84,6872,0,108,0,0,0,0,0,14012,0,0,527,0,000680,urban
34615,0,0,0,0,0,23,29991,0,0,0,0,0,0,0,14373,0,0,0,0,004265,urban
56077,0,0,196,0,0,63,7465,0,7377,0,0,0,0,0,7817,0,0,7,0,000244,urban
47446,0,0,36,0,0,35,1954,0,0,0,0,0,0,0,25275,0,0,4256,0,003036,urban
37603,0,0,3,0,0,5046,61,0,0,0,0,0,0,0,32901,0,0,3388,0,005738,urban
53495,0,0,398,0,0,147,6225,0,129,0,0,0,0,0,18264,0,0,344,0,002288,urban
46817,0,0,0,0,0,2132,7659,0,0,0,0,0,0,0,22218,0,0,176,0,003108,urban
42480,0,0,0,0,0,24,26421,0,0,0,0,0,0,0,9413,0,0,664,0,005419,urban
43980,0,0,0,0,0,50,13436,0,0,0,0,0,0,0,18123,0,0,3413,0,002855,urban
64585,0,0,0,0,0,763,770,0,0,0,0,0,0,0,11764,0,0,1120,0,007151,urban
14258,0,0,0,0,0,0,37332,0,0,0,0,0,0,0,26449,0,0,1476,0,006750,urban
29325,0,0,298,0,0,2078,35479,0,0,0,0,0,0,0,8429,0,0,3393,0,002275,urban
21399,0,0,6717,0,0,233,13737,0,18689,0,0,0,0,0,12197,0,0,6030,0,001079,urban
32746,0,0,59,0,0,1089,25068,0,0,0,0,0,0,0,4369,0,0,16184,0,001970,urban
38249,0,0,1460,0,0,275,24079,0,0,0,0,0,0,0,13869,0,0,1070,0,004269,urban
16665,0,0,266,0,0,693,39556,0,0,0,0,0,0,0,15865,0,0,5957,0,005775,urban
38946,0,0,0,0,0,3384,114,0,0,0,0,0,0,0,32424,0,0,4134,0,004413,urban
23568,0,0,0,0,0,1163,22594,0,0,0,0,0,0,0,26428,0,0,5249,0,003644,urban
44028,0,0,2691,0,0,0,6286,0,5852,0,0,0,0,0,18690,0,0,1968,0,001354,urban
55484,0,0,0,0,0,367,4598,0,0,0,0,0,0,0,18126,0,0,427,0,000172,urban
36179,0,0,0,0,0,419,22181,0,847,0,0,0,0,0,11196,0,0,8180,0,005897,urban
55343,0,0,0,0,0,799,1402,0,1,0,0,0,0,0,19498,0,0,1959,0,006448,urban
41043,0,0,0,0,0,1463,1693,0,0,0,0,0,0,0,31570,0,0,3233,0,002264,urban
26103,0,0,0,0,0,208,34158,0,0,0,0,0,0,0,14106,0,0,4427,0,005403,urban
42416,0,0,0,0,0,835,21941,0,0,0,0,0,0,0,13880,0,0,443,0,004583,urban
69709,0,0,427,0,0,0,235,0,969,0,0,0,0,0,7167,0,0,495,0,003081,urban
55990,0,0,190,0,0,321,0,0,550,0,0,0,0,0,18107,0,0,3844,0,004754,urban
20116,0,0,0,0,0,1094,28006,0,0,0,0,0,0,0,23626,0,0,6160,0,000258,urban
46437,0,0,6,0,0,5024,88,0,0,0,0,0,0,0,25106,0,0,2341,0,006235,urban
47011,0,0,532,0,0,670,13507,0,0,0,0,0,0,0,17060,0,0,222,0,002949,urban
31990,0,0,0,0,0,1180,25773,0,0,0,0,0,0,0,3970,0,0,16602,0,005779,urban
49830,0,0,6,0,0,551,6908,0,405,0,0,0,0,0,21033,0,0,269,0,007035,urban
17845,0,0,2987,0,0,1306,25723,0,0,0,0,0,0,0,26548,0,0,4593,0,004177,urban
41057,0,0,436,0,0,608,17921,0,0,0,0,0,0,0,15522,0,0,3458,0,003744,urban
60348,0,0,0,0,0,848,2166,0,0,0,0,0,0,0,15345,0,0,295,0,002926,urban
44360,0,0,178,0,0,2181,3910,0,0,0,0,0,0,0,27090,0,0,1283,0,005569,urban
48518,0,0,82,0,0,665,6277,0,0,0,0,0,0,0,20619,0,0,2841,0,002436,urban
44723,0,0,328,0,0,4021,595,0,0,0,0,0,0,0,21432,0,0,7903,0,000367,urban
25007,0,0,163,0,0,936,31435,0,0,0,0,0,0,0,21461,0,0,0,0,003441,urban
55009,0,0,0,0,0,1007,9245,0,21,0,0,0,0,0,13349,0,0,371,0,006663,urban
23084,0,0,0,0,0,3347,36642,0,0,0,0,0,0,0,10707,0,0,5222,0,005388,urban
19591,0,0,10,0,0,735,36041,0,0,0,0,0,0,0,21668,0,0,957,0,003083,urban
38225,0,0,510,0,0,33,20108,0,1387,0,0,0,0,0,17917,0,0,822,0,000032,urban
32941,0,0,77,0,0,981,26434,0,0,0,0,0,0,0,2191,0,0,16891,0,003130,urban
62313,0,0,0,0,0,97,8804,0,0,0,0,0,0,0,7788,0,0,0,0,003565,urban
42034,0,0,0,0,0,277,10651,0,0,0,0,0,0,0,25966,0,0,74,0,002105,urban
49937,0,0,0,0,0,1086,6630,0,0,0,0,0,0,0,21152,0,0,197,0,002155,urban
52202,0,0,0,0,0,246,6348,0,0,0,0,0,0,0,15183,0,0,5023,0,002453,urban
52286,0,0,0,0,0,174,9044,0,0,0,0,0,0,0,17272,0,0,226,0,004882,urban
33823,0,0,0,0,0,5,29196,0,0,0,0,0,0,0,15875,0,0,103,0,002708,urban
55811,0,0,5961,0,0,495,4830,0,58,0,0,0,0,0,11747,0,0,100,0,000563,urban
49051,0,0,12,0,0,0,8327,0,0,0,0,0,0,0,19850,0,0,1762,0,006237,urban
53844,0,0,4356,0,0,1266,2524,0,9,0,0,0,0,0,14860,0,0,2143,0,003585,urban
32442,0,0,52,0,0,935,26100,0,0,0,0,0,0,0,5172,0,0,14814,0,001174,urban
34145,0,0,61,0,0,583,19582,0,0,0,0,0,0,0,20480,0,0,4151,0,004512,urban
22444,0,0,0,0,0,184,33863,0,0,0,0,0,0,0,17470,0,0,5041,0,001580,urban
42343,0,0,5,0,0,5310,68,0,0,0,0,0,0,0,27980,0,0,3296,0,005454,urban
49594,0,0,0,0,0,1607,2965,0,0,0,0,0,0,0,24195,0,0,641,0,006564,urban
68336,0,0,0,0,0,197,0,0,0,0,0,0,0,0,10469,0,0,0,0,006456,urban
37535,0,0,2,0,0,4966,47,0,0,0,0,0,0,0,33036,0,0,3416,0,006049,urban
51678,0,0,0,0,0,1838,3826,0,0,0,0,0,0,0,18225,0,0,3435,0,007066,urban
54198,0,0,378,0,0,404,0,0,1,0,0,0,0,0,17697,0,0,6324,0,001059,urban
46597,0,0,7814,0,0,353,397,0,6422,0,0,0,0,0,14667,0,0,2752,0,000390,urban
18413,0,0,0,0,0,8,31064,0,0,0,0,0,0,0,25526,0,0,3991,0,001276,urban
37255,0,0,3,0,0,5124,75,0,0,0,0,0,0,0,32814,0,0,3731,0,005816,urban
28273,0,0,18,0,0,879,13700,0,2343,0,0,0,0,0,27919,0,0,5870,0,003023,urban
38260,0,0,1045,0,0,972,12733,0,0,0,0,0,0,0,21727,0,0,4778,0,001366,urban
45627,0,0,159,0,0,22,19398,0,0,0,0,0,0,0,13796,0,0,0,0,006721,urban
34790,0,0,64,0,0,1020,23605,0,2,0,0,0,0,0,3339,0,0,16695,0,004854,urban
35841,0,0,0,0,0,2321,10846,0,0,0,0,0,0,0,26249,0,0,3745,0,004169,urban
50139,0,0,1,0,0,1073,367,0,0,0,0,0,0,0,21851,0,0,6084,0,001357,urban
47670,0,0,0,0,0,2397,2684,0,3,0,0,0,0,0,19974,0,0,6274,0,000972,urban
30661,0,0,127,0,0,890,27401,0,0,0,0,0,0,0,5496,0,0,14940,0,003333,urban
34720,0,0,172,0,0,1138,22049,0,16,0,0,0,0,0,2019,0,0,19401,0,007362,urban
16111,0,0,4740,0,0,982,37264,0,0,0,0,0,0,0,14701,0,0,5204,0,004736,urban
43041,0,0,443,0,0,27,8849,0,6686,0,0,0,0,0,13643,0,0,6826,0,000074,urban
51972,0,0,1451,0,0,1049,103,0,11,0,0,0,0,0,22286,0,0,2130,0,005018,urban
